child_id,match,vector_similarity,title_similarity,numbers_lenmatches,taxonomy_lenmatches,ner_overlap,length_ratio
718120,1,0.98993980884552,0.5711575150489807,1,12,1,0.29144254278728604
718120,0,0.907119631767273,0.39796650409698486,0,1,0,0.6996644295302014
718144,1,0.9806232452392578,0.6645384430885315,1,7,1,0.10122249388753056
718144,0,0.815610408782959,0.687067985534668,0,0,0,0.7554744525547445
718180,1,0.9806547164916992,0.6645384430885315,1,7,1,0.10122249388753056
718180,0,0.8426142930984497,0.4001769423484802,0,0,0,0.48705882352941177
718208,1,0.9699475169181824,-0.0661514475941658,0,6,0,0.061124694376528114
718208,0,0.8649085164070129,-0.033654943108558655,0,0,0,0.16983695652173914
718301,1,0.956200361251831,0.06953012943267822,1,6,0,0.07383863080684597
718301,0,0.8945364356040955,0.008239357732236385,1,2,0,0.14703018500486856
718304,1,0.9530349373817444,0.14281587302684784,1,10,1,0.32469437652811733
718304,0,0.4409003257751465,0.1676691621541977,0,0,0,0.0030120481927710845
718305,1,0.9654174447059631,0.311138391494751,1,6,1,0.05916870415647922
718305,0,0.9095633625984192,0.25523874163627625,0,0,0,0.4653846153846154
718310,1,0.9520403742790222,0.3587487041950226,1,6,1,0.05965770171149144
718310,0,0.9443636536598206,0.38331034779548645,2,2,0,0.16598639455782313
718314,1,0.9523731470108032,0.140287846326828,0,2,0,0.08704156479217603
718314,0,0.8282702565193176,0.17760083079338074,0,1,0,0.4930747922437673
718316,1,0.9626253247261047,-0.08680424094200134,1,4,0,0.07726161369193155
718316,0,0.8791484236717224,-0.11710008978843689,0,0,0,0.4463276836158192
718318,1,0.9787549376487732,0.3050643801689148,0,5,1,0.07677261613691931
718318,0,0.907158374786377,0.34479472041130066,0,0,0,0.5528169014084507
718321,1,0.9717450737953186,0.0,0,5,1,0.07823960880195599
718321,0,0.9267745018005371,0.0,0,0,0,0.4071246819338422
718322,1,0.9614524841308594,0.41316306591033936,1,6,1,0.05867970660146699
718322,0,0.9049158096313477,0.34338104724884033,0,3,0,0.4067796610169492
718323,1,0.9673377871513367,0.24985727667808533,1,6,1,0.05965770171149144
718323,0,0.9190225601196289,0.2908923625946045,0,0,0,0.5622119815668203
783294,1,0.9315233826637268,0.5136477947235107,1,4,0,0.7899159663865546
783294,0,0.8580523729324341,0.807097852230072,0,0,0,0.25133689839572193
846484,1,0.9466817378997803,0.4210631549358368,3,3,1,0.17551622418879056
846484,0,0.6924691200256348,0.5438759326934814,0,0,0,0.0058997050147492625
864188,1,0.8461027145385742,0.09664972871541977,0,3,0,0.6611111111111111
864188,0,0.822645902633667,0.1494855135679245,0,1,0,0.34026465028355385
924090,1,0.9622917175292969,0.5194630026817322,1,7,0,0.36503067484662577
924090,0,0.9404029250144958,0.60792076587677,0,0,0,0.5415282392026578
924095,1,0.9428724050521851,-0.05631309002637863,3,12,1,0.05228471001757469
924095,0,0.9051303267478943,0.005246810149401426,9,5,0,0.2478031634446397
924131,1,0.938704252243042,0.49471262097358704,1,12,1,0.048472505091649694
924131,0,0.938022792339325,0.7603709697723389,3,6,0,0.27494908350305497
924133,1,0.9384586811065674,0.49471262097358704,1,12,1,0.049749163879598664
924133,0,0.8993076682090759,0.48144766688346863,1,3,1,0.21237458193979933
955652,1,0.9754001498222351,0.7040894627571106,7,12,4,0.5461689587426326
955652,0,0.9728115200996399,0.49442726373672485,0,1,1,0.6435185185185185
956410,1,0.9396870732307434,0.6071475148200989,4,6,0,0.6970509383378016
956410,0,0.9030245542526245,0.41785889863967896,1,0,0,0.7184986595174263
956411,1,0.9443716406822205,0.7258355617523193,4,10,1,0.7975460122699386
956411,0,0.9138619303703308,0.6107426881790161,4,2,1,0.6174242424242424
956418,1,0.9820547699928284,0.660885214805603,9,9,2,0.32220039292730845
